,char,area,perimeter,roundness,ratio
1342,F,1250.0,240.71067690849304,0.2709623461754577,1.5135135135135136
1343,F,1405.5,268.46803629398346,0.2449262408748089,1.5384615384615385
1344,F,1407.5,268.46803629398346,0.24527476629761188,1.5789473684210527
1345,F,1103.0,236.71067690849304,0.24724610413177453,2.1481481481481484
1346,F,1419.0,262.2253956794739,0.25919256291964704,1.5789473684210527
1347,F,996.5,226.1248904466629,0.24477677216930047,2.0
1348,F,1399.5,266.46803629398346,0.24755534022195516,1.5526315789473684
1349,F,1220.5,227.29646337032318,0.2967167520630605,1.8125
1350,F,1276.5,246.1248904466629,0.2646667514742194,1.7058823529411764
1351,F,1113.5,238.95331752300262,0.2449366264065679,2.107142857142857
1352,F,1184.5,226.81118214130402,0.28919832961802044,1.8387096774193548
1353,F,1172.0,242.36753106117249,0.2505926757670422,1.78125
1354,F,1115.0,233.88224983215332,0.25601769372209926,2.107142857142857
1355,F,1006.5,224.95331752300262,0.24981505874903237,2.0714285714285716
1356,F,1424.0,262.2253956794739,0.26010585595319063,1.5789473684210527
1357,F,1191.0,236.22539567947388,0.2680700100755257,1.8387096774193548
1358,F,1261.5,235.78174459934235,0.2850076653564928,1.5405405405405406
1359,F,1420.0,263.0538227558136,0.2577441096336676,1.5789473684210527
1360,F,1370.5,211.29646337032318,0.38555312122634794,1.6388888888888888
1361,F,1406.0,265.53910398483276,0.25044824292203244,1.5789473684210527
1362,F,1130.0,238.22539567947388,0.25008749068152736,2.107142857142857
1363,F,1171.5,235.29646337032318,0.2657670484380245,1.8387096774193548
1364,F,1162.0,235.39696860313416,0.2633868181928617,1.9333333333333333
1365,F,1112.0,230.22539567947388,0.2635044601206739,1.8333333333333333
1366,F,1239.0,241.53910398483276,0.2667387084381773,1.4736842105263157
1367,F,1204.5,242.1248904466629,0.2580581439182169,1.8125
1368,F,1252.0,242.85281229019165,0.2666291905042656,1.4736842105263157
1369,F,1417.5,265.78174459934235,0.2520359030324784,1.5789473684210527
1370,F,1012.5,226.95331752300262,0.24689460513181136,2.0344827586206895
1371,F,1280.5,241.29646337032318,0.27622775197429167,1.6764705882352942
1372,F,1372.5,212.95331752300262,0.38013089850158754,1.6388888888888888
1373,F,1268.5,245.29646337032318,0.2647875355789537,1.7058823529411764
1374,F,1197.0,226.85281229019165,0.29214297979067266,1.78125
1375,F,1111.0,234.56854152679443,0.25360870898153903,2.1481481481481484
1376,F,1408.0,261.0538227558136,0.2594969034304563,1.5789473684210527
1377,F,1284.5,233.63960921764374,0.29554989245731866,1.6764705882352942
1378,F,1001.5,226.46803629398346,0.2452600228323563,2.0
1379,F,1370.0,167.39696860313416,0.6140659669880336,1.6857142857142857
1380,F,1253.5,248.95331752300262,0.25402598361892853,1.6285714285714286
1381,F,1357.5,220.46803629398346,0.3507827350345813,1.6857142857142857
1382,F,1253.5,233.29646337032318,0.28926618457503195,1.4736842105263157
1383,F,1267.5,229.78174459934235,0.3015133614415264,1.5833333333333333
1384,F,1392.0,193.0538227558136,0.4691071616936268,1.6388888888888888
1385,F,1272.5,230.95331752300262,0.29963947007482605,1.6285714285714286
1386,F,1147.0,230.22539567947388,0.27179821561008355,1.8387096774193548
1387,F,1406.5,270.1248904466629,0.2421029985444465,1.5789473684210527
1388,F,1101.5,233.9827550649643,0.2527006972491823,2.185185185185185
1389,F,1206.5,219.29646337032318,0.3151038504009143,1.8709677419354838
1390,F,1104.0,233.39696860313416,0.2545471803537259,2.1481481481481484
